Title,Content,Language,Sentiment
Reducing impact of climate change top priority for Sabah,sabah will make efforts to reduce the impact of climate change as the state governments main agenda through various measures and initiatives introduced to realise that goal said chief minister datuk hajiji noor he said that commitment among others could be seen through the sabah governments target to plant about 36 million trees within five years until 2025 through the malaysia greening programme initiative nationwide themed greening malaysia our trees our life so far nearly 45 million trees have been planted nationwide through the programme he said sabah has also formed the climate change action council under the purview of the sabah forestry department to discuss climate change policies and actions drive green economic growth catalyse green technology as well as lowcarbon growth this is in line with sabahs policy on the environment as well as the nations aspiration especially in the climate mitigation and adaptation processes climate change is among the main aspects in the policy and we are committed to taking all the necessary steps to ensure the air quality in the state will not become worse as a result of development activities he said when officiating the sabah climate change international conference 2021 on tuesday,en,positive
Yayasan Sabah strengthens conservation efforts,the yayasan sabah group organised a seminar of maliau basin conservation areas wildlife and resources survey on thursday at the shangrila tanjung aru here officiated by the assistant minister to the chief minister of sabah datuk abidin bin madingkir the seminar featured the latest findings on biodiversity in the maliau basin conservation area mbca in addition to strengthening conservation efforts in sabah in his speech abidin expressed appreciation to the yayasan sabah group for conducting a 14day survey in may 2024 this effort aims to obtain the latest data on wildlife assess the threats faced and explore the potential for ecotourism development in the maliau basin he also highlighted sabah as the land below the wind and a paradise full of biodiversity strengthening malaysias position as a country with megabiodiversity sabah is blessed with natural beauty and rich biodiversity which gives high value not only in terms of the environment but also the economy and socioeconomics of the people said abidin conservation areas such as danum valley maliau basin and mount kinabalu are the main ecotourism attractions that also open up job opportunities for sabahans he said further,en,positive
70% of endemic trees in Sabah threatened,a book on sabahs endemic tree species was launched at the international conference on heart of borneo at the sabah international convention centre sicc here on wednesday the red list of sabah endemic trees compiles the conservation status assessment of 291 sabah endemic tree species that have been validly published on the iucn red list of threatened species website from 2018 up to 2022 the compilation was derived from the initiative by the sabah forestry department together with the botanical garden conservation international bgci and iucn ssc global tree specialist group gtsg both are leading the global tree assessment initiative gta ninetyfive per cent of the 291 species were largely assessed by researchers from the sabah forestry department dr colin maycock and student interns from universiti malaysia sabah,en,negative
Nearly 100 turn up for Sabah Climate Strike,close to 100 people gathered at the pillars of sabah around 3 pm yesterday to push the government into addressing the current climate crisis organizations and individuals representing various civil society organizations in sabah had planned to march to the segama waterfront boardwalk at 4 pm but were stopped by the police participants were clad in green and black clothing while many wore face masks in light of the current haze situation the masks too were symbolic of human action muting the environment the event was organized as part of the global climate strike a movement that saw similar protests happening in hundreds of cities across the world,en,negative
Sabah first to launch policy on environment,chief minister datuk seri musa aman launched the sabah state policy on the environment during the 14th state assembly sitting here yesterday making sabah the first state to have initiated the formulation of the policy the policy outlines strategies and action plans based on five thematic aspects of the environment namely land air water biodiversity and social dimension to ensure effective implementation of the policy the state government through the ministry of tourism culture and environment has just completed 83 strategies and 195 action plans based on the thematic aspects the action plans for the sabah state policy on the environment will be implemented for 15 years from 2018 to 2033 the policy outlines three objectives namely to provide a vision for environmental conditions and standards an environmental framework for regulatory mechanisms and guidance for all decision makers and implementing agencies in the execution of the mandates and duties,en,positive
Penampang school steps up environmental awareness,sm st michael penampang has stepped up its environmental awareness programme by engaging communities to play their role in preserving mother nature with treeplating activities deforestation is one of the biggest environment challenges that were currently facing thus as an educational institution it is important to impart knowledge about current environmental issues not just to students but also to the community therefore st michaels penampang secondary school being the trophy holder and award bearer of the sekolah lestari mentor serasi and ecoschool organized a programme to help communities understand better about current issues that are happening in our environment and also how they can play their role to preserve mother nature said the principal jennifer asing she said the school is enhancing its effort to raise environmental awareness among the communities by supporting the malaysia greening programme plant 100 million trees campaign which is a fiveyear long campaign initiated by the ministry of energy and natural resources,en,positive
Govt keen to work on environmental protection with organisations,six conservation and research organisations yesterday handed over a threepoint call to action to the sabah state government a move that saw both sides agreeing to work together to further map out the recommendations chief minister datuk seri musa aman who received the onepage document from leaders of the organisations at sri gaya near here was positive about points that were raised i take note of your recommendations actually some of the steps have been taken or are in the process of implementation we will study the rest in further detail to see their viability and we are also keen to work with you in seeing the recommendations through musa said,en,positive
Action plan to save mangroves,the state government will launch the sabah mangrove action plan as way forward to transform the management and conservation of mangrove forests in sabah said chief minister datuk seri hajiji haji noor he said the action plan is important and crucial since 60 per cent or 378195 hectares of the countrys mangrove forests are in sabah sabah has the largest mangrove forests in malaysia so it is important that we have an action plan that will serve as a guide on mangrove management and conservation it is also in consonance with the blue carbon initiative a global programme being coordinated to focus on the conservation and preservation of the seaside ecosystem for climate biodiversity and prosperity of the people he said,en,positive
Role of engineers in mitigating climate change and global warming in Sabah,the realities of climate change and global warming are no longer abstract concepts confined to scientific journals or global conferences nowadays these phenomena have direct and tangible effects on regions worldwide including sabah malaysia known for its rich biodiversity pristine rainforests and vibrant coastal ecosystems sabah is increasingly under threat from the adverse impacts of climate change the intensified frequent flooding coastal erosion and shifts in weather patterns are just some of the challenges that have emerged over the past decades in view of these problems engineers have an irreplaceable role in mitigating these challenges and ensuring that sabah not only adapts to the changing climate but also contributes to the global effort to curb its progression engineering is a discipline rooted in problemsolving and the solutions it can offer to climaterelated issues are manifold from renewable energy development to climateresilient infrastructure and urban sustainability engineers are at the forefront of creating a safer and more sustainable future for sabah,en,positive
Climate actions: KK must take lead,kota kinabalu must take the lead in climate actions for the cities in sabah and set an example for other cities in malaysia to emulate said assistant minister to the chief minister datuk abidin madingkir he said the kota kinabalu city hall dbkk is looking into several smart city projects the use of comprehensive assessment system for built environment efficiency casbee for green building assessment and renewable energy projects such as the minihydro project at kiansom waterfalls with toyoma city of japan he said dbkk also wants to do a comprehensive study to track the citys carbon footprint abidin said dbkk and the international council for local environmental initiative iclei had coprepared the kota kinabalu green city action plan in 2019 which is recognized as a climate action plan by virtue of membership of the global covenant of mayors for climate and energy gcom,en,positive
Council reminded of role on environment issues,the sabah environment protection council mpass was reminded about its important role in advising the sabah government on matters pertaining to the implementation of the environment protection enactment 2002 as well as on matters related to environmental management in the state mpass chairman datuk seri christina liew gave the reminder in her opening speech when the council convened its first meeting for the current year on tuesday at the tourism culture and environment ministrys conference room liew who is also state tourism culture and environment minister presided at the meeting attended by members of the council comprising senior officers from both state and federal government agencies the council must take a serious view of environmental issues in line with our commitment to ensuring sustainable environmental governance in line with the sabah state environmental policy 2017 this policy outlines 83 strategies based on five key areas namely land air water biodiversity and social dimension she said,en,positive
Pang commends students' concern on environ issues,environmental protection has taken a firm grip in the state with more young sabahans doing their bit and being vocal on the issuetourism culture and environment assistant minister datuk pang yuk ming affirmed this notion on saturday when participating students from maktab nasional raised their concerns over the tanjung aru eco development project in the yb minister we have something to tell you competition they raised their concern over the said project which came under public scrutiny over the reclamation of land which may deter visitors from enjoying the beach in the future the competition was among the four competitions held by institut sinarans interschool environment day 2014 themed raise your voice not the sea level here saturday i will not talk further on the matter tg aru eco development but development is a necessity of life we have to change you need development in your life but the question is what kind of development we want sustainable development that is environment friendly that is the key issue said pang in responding to the issue in his speech as a responsible citizen we must make sure whatever development we bring to our state is sustainable environment friendly and most of all bring benefit to our people he said pang also commended the students concern over the environment issues around them as raised by them in the competition please voice it up not in a negative way that you do not reject development but you want your leader to be responsible to bring development that is sustainable environment friendly and that would bring social benefit to the people otherwise you will be living in the dark ages said pang the future is in good hands as the younger generations are now sensitive towards their surrounding he said i am glad that you all know what is happening in sabah and i am very optimistic now about the future and have faith that sabah will be in good hands of the future generation who know to care about environment earlier several participating teams in the competition raised their concern on environment issues around them maktab nasional emerged as the winner of the competition while the first and second places went to sm all saints and smk datuk peter mojuntin respectively meanwhile sinaran ceo william pan said the institute organised the event yearly since 2005 to cultivate awareness and conviction in the minds and hearts of participating students and the visiting public about the importance to care for the mother earth over 600 students from 14 secondary schools from kota kinabalu penampang and tuaran participated in the events namely environment quiz ecoexhibition challenge recycled sculpture contest and yb minister we have something to tell you also present was chairman of the board of governors of institut sinaran datuk yong kyok ming,en,positive
APS: Why the Tenom logging approval?,angkatan perpaduan sabah aps queries the logging approval given by the natural resources department land and survey department and the state chief conservator of forests to a company involving 3883 hectares in kg katubu sasagop and kg kapulu its vice president paul kadau said the people in the area wondered why the approval was given when the chief minister datuk seri mohd shafie apdal last year said that anything that harms the environment will not be allowed even though it brings revenue to the state he cited a statement by shafie in may 28 last year that although logging concessionaires may be contributors to the state revenue it cannot be allowed if it causes environment issues in sabah kadau said aps believes that continued logging activities in the area will threaten the natural environment ecosystem which may cause erosion in the long run if left unaddressed among issues that the villagers disagreed with include kg imahit customary land boundary water catchment area effect on the tagal system in the river and possible destruction of the community forest they also claimed that it may also affect the old cemetery daily lives of the indigenous community geographical landscape of the land such as hills and existing rivers destroy their crops and tagal system under the small grants programme the area is part of the rundum highland tourist area which is gaining popularity among tourists he said recently it is understood that the kemabong state constituency also sent a letter of protest to the tenom district officer who is also the land revenue assistant collector this prompted an integrated inspection at the site on wednesday led by the tenom district officer and various government departments and agencies among those involved are those from the police keningau road transport department sabah environmental protection department sabah environmental department commercial licensing vehicle board immigration department kemabong assistant district officer and rela among others the tenom district officer took action in stopping logging activities in the area based on issues concerning environmental protection and safety of the local community aps described the action taken by the district officer as accurate as it is in the interest of the people ,en,positive
Green practices must for all councils: Limus,all local authorities pbts in sabah are encouraged to practice environmental sustainability through adoption of green practices in every development projects in their respective districts assistant minister of works datuk limus jury said this effort including reduce negative impacts to the earth through green practices aims to preserve natural resources while emphasising the concept of a sustainable circular economy he said this is also in line with pbts as the backbone and key indicators in implementing programmes or projects that focus on achieving sustainable landscape development kktp is actively working to strengthen and sustain every planning initiative including landscape planning in the pursuit of sustainable development limus said therefore pbts must also support the efforts of kktp which serves as the driver and catalyst in formulating the states guidelines and direction as well as in coordinating more organised and highquality landscape development he said this when officiating an ihijau roadshow program kktp green initiative sabah maju jaya aspiration 2025 organised by kktp and kuala penyu district council held at dato syahbandar makang hall here recently the programme serves as a platform that involves the entire community of kuala penyu in taking collective action to preserve the sustainability of their surrounding landscape in this regard the ihijau kktp programme serves as a platform and catalyst for green initiatives throughout the state and represent the ministrys ongoing efforts to promote green practices it began with the ihijau kktp festival in 2023 and kktp approved the ihijau kktp roadshow to be brought to kuala penyu for the first time and after this the roadshow will continue to be held in tenom limus who is also kuala penyu assemblyman said there are five key principles in implementing a sustainable circular economy that they can work towards efficient use of resources  to prevent waste and maximize the reuse and recycling of materials carbon footprint reduction  to lower carbon emissions that contribute to global warming development of a social and inclusive economy  by prioritising human wellbeing environmental sustainability  aligned with the goals of a circular economy and aimed at preserving the natural environment advancement of green technology and innovation  to support sustainability through the adoption of environmentally friendly and innovative technologies in addressing climate change limus said the community must work together to implement environmental sustainability efforts in an integrated and balanced manner this responsibility must be shouldered by all quarters to ensure the sustainability of both current and future generations we believe that the key to resolving the climate crisis lies in reducing carbon dioxide emissions and transforming society to safeguard the environment he said following this limus called on all residents here to embrace positive values to ensure the sustainability and preservation of the district he said the habit of throwing garbage and waste from vehicles onto the road must be curbed and completely eliminated cleanliness and preserving the beauty of the local environment aligns with the districts vision and its transformation into a new tourism hub in the country we must work handinhand  especially community leaders and the people  to support the implementation of the kuala penyu sustainable village programme which was launched by the kktp minister datuk seri dr joachim gunsalam on nov 23 last year at the monsoi point this programme introduced by the kuala penyu district council is an excellent initiative to help guide the community in managing natural resources holistically and to foster village development in the social and economic spheres  ultimately creating a sustainable peaceful and prosperous community he said therefore limus described the implementation of the ihijau 2025 roadshow program as highly appropriate serving as a catalyst for the community  particularly in kuala penyu  to progress toward becoming a liveable and sustainable society in line with kktps vision driving sustainable development and achieving community wellbeing also present were kuala penyu district officer nelson domil oluk kktp principal assistant secretary landscape nurulhayati awang more kuala penyu district council executive officer john genchit who also chairs the districtlevel implementation committee along with executive officers from local authorities across the state department heads representatives from various government agencies and community leaders,en,positive
Renewable Energy Certs an option: Expert,sabahs clean energy transition is not only benefiting the environment but could also create new economic opportunities through carbon credits and renewable energy certificates according to electrical engineer nirinder singh johl with the secondlowest carbon emissions from electricity in malaysia sabah is wellpositioned to capitalise on its cleaner energy mix particularly as global businesses increasingly look to reduce their carbon footprint he said at the at the inaugural sabah renewable energy conference 2025s panel session 2 titled overcoming hurdles and transforming tomorrow sabahs renewable energy transition strategies there has been a new standard on carbon credits for gridconnected energy storage probably sabah could explore that he said adding that it gives a bit of financial sense to having storage the asia carbonx change plt chief executive officer pointed out sabahs environmental advantage noting the significant difference in carbon emissions compared to peninsular malaysia peninsula is 075 tons of co2 per megawatt we do not have coal here we took a chance a stand some time ago as a result of which the grid emission factor of sabah is 055 and sarawak obviously lowest 019 he said renewable energy certificates recs represent another opportunity for funding clean energy projects in the state nirinder described these as the block chain for the green market every time you generate one megawatt hour you stop conventional energy production with the same amount the one from renewable does not have carbon in it rec is basically the currency for the renewable energy market he said for sabah to fully participate in this market he suggested developing a local certification system if sabah wants to go probably sabah needs to have an issuer a sabah issuer or probably in malaysia we call it mvax we call it svax for sabah issuer this is how you brand yourself he said he said the financial incentives are substantial with recs commanding different prices depending on market maturity and regulatory requirements solar recs in peninsular malaysia cost usd5 while in singapore they command usd65 due to their carbon market and compliance requirements when taxation comes in here the prices of recs will go up making it perfect sense to include in your financial model he said among his recommendations for sabahs renewable energy development was aligning power purchase agreements with the actual lifespan of energy plants if the economic life of a solar plant is 25 years give them 25 years a hydro is 32 years then give them 33 years he said meanwhile talent corporation malaysia berhad sector head of industry partnership nazliyah mohd ali said the expansion of renewable energy is also creating demand for workers with specialised skills last year we conducted 10 sectors of impact study for artificial intelligence digital and green economy to understand what the impact to the malaysian workforce is she said based on the findings we understand that there is a need for energyrelated skills like energy economists energy traders all those things are moving forward for the next three to five years based on the national energy transition roadmap we know that there are a need for 62000 professionals in green technology green field she said to bridge the skills gap talentcorp has come up with the mymahir future skills talent council and developed tailored programs we developed curated programs which are very much according to what industry wants we want to see what the skills gap from the fresh graduate are and see what we can do to fit in the gap in terms of the skills she said for those interested in exploring these career paths she pointed to available resources online this study the impact study is actually available online you can go to mymahirmy and you can actually download this copy we have another separate platform for secondary and primary schools if you have children you can go to our platform and they can see interactive videos to understand what is actually done in layman terms for them to learn she said  follow us on our official whatsapp channel and telegram for breaking news alerts and key updates,en,positive
Kudat coral planting enters record book,sabah parks along with wwfmalaysia universiti malaysia sabah local communities enforcement agencies volunteers and the private sector reached a milestone in conservation efforts through the recognition by the malaysia book of records mbr for planting 12000 coral fragments on the seafloor within tun mustapha park ttm at simpang mengayau tip of borneo close to pulau kalampunian state minister of tourism culture and environment datuk seri christina liew officiated the recognition ceremony in conjunction with the 9th anniversary of the gazettement of tun mustapha park at dewan tun mustapha kudat on monday congratulations to the director of sabah parks dr maklarin lakim and his team all collaborative partners and implementing agencies that turned this vision into reality to the local communities  you are the true guardians of the sea this collaboration strengthens an inclusive and effective conservation network ,en,positive
Mitigating climate change impact in Sabah,the sabah government is taking proactive steps to address climate change and global warming challenges with the establishment of the sabah climate action council scac and significant funding for mitigation and adaptation initiatives the council chaired by the state secretary plays a crucial role in setting the direction and coordinating mitigation and adaptation projects across sabah chief minister datuk seri hajiji noor said a climate change unit has also been set up within the sabah forestry department as the interim secretariat for the scac since forestry plays a key role in climate change management under the greenhouse gas ghg sector specifically in land use land use change  forestry lulucf the state government has allocated rm3 million per year to the climate change unit for implementing climate change mitigation and adaptation initiatives in 2024 the unit focused on two key components the greenhouse gas ghg inventory and a study on climate change impacts vulnerability and adaptation in sabah said hajiji these components must be implemented urgently as they serve as the foundation for sabahs climate change policy and carbon trading framework it is also crucial for assessing the feasibility of carbonrelated projects in the state he said since its setting up in 2022 the scac is tasked with overseeing all climaterelated initiatives in sabah at the 4th scac meeting on aug 2 2024 a technical working group twg on vulnerability and adaptation was proposed led by the sabah tourism culture and environment ministry hajiji highlighted that sabah successfully completed consultancy services for the development of the sabah climate change policy in july 2024 this policy specifically focuses on two core components  development of sabahs ghg inventory and study on the impacts vulnerability and adaptation to climate change in sabah the sabah government remains committed to strengthening resilience against climate change by ensuring strategic planning dedicated funding and interagency cooperation we are positioning sabah to better manage and mitigate the effects of climate change he said asked on the scacs recommendations to the sabah government hajiji said the scac has actively engaged in discussions regarding the impacts of climate change in sabah since inception in 2022 matters related to the vulnerability impacts and adaptation of climate change in sabah were discussed in detail during the scacs first meeting in 2022 he said these discussions were an integral part of a comprehensive study conducted by aurecon lestari sdn bhd which has recently been completed a cabinet paper outlining actions based on the consultancys findings and recommendations is being prepared by the scac secretariat additionally he highlighted that the natural resource office nro is working on a separate cabinet paper focused on the institutional setup and governance of the climate change division within the nro as proposed during the fourth scac meeting furthermore we are establishing other technical working groups twgs that will address climate change issues in sabah including those related to communication educationa and public awareness cepa and technology he said on the achievements made in sabahs green initiatives under the hala tuju sabah maju jaya smj development plan the chief minister said green sustainability refers to the responsible use and management of sabahs natural resources ensuring that we meet current needs while allowing future generations to do the same hajiji emphasised the importance of integrating environmental protection with human development particularly in the forestry sector he highlighted significant strides sabah has made in sustainable forestry our conservation programmes sustainable forestry initiatives and community development projects are clear evidence of our commitment to sustainability however our journey does not end here we must continue to innovate adapt and strive for excellence in our practices he said key achievements include sabahs 2nd strategic action plan spa launched at the first heart of borneo hob symposium in 2022 this plan serves as a comprehensive roadmap to tackle environmental challenges promote sustainable land use and support biodiversity conservation in the hob region forest plantation development action plan 20222036 this longterm master plan aims to ensure a sustainable timber supply for the wood industry while enhancing the quality and productivity of forest plantations ultimately fostering economic growth alongside natural forest preservation sabah climate action council scac with the sabah forestry department appointed as the secretariat this council is tasked with coordinating efforts to mitigate and adapt to climate change integrating forestry within broader climate response strategies sabah 25year master plan currently in its finalisation stages this comprehensive plan will guide the longterm objectives of the sabah forestry department focusing on sustainable resource management and socioeconomic growth sabah mangrove action plan smap launched at the sabah international blue economy conference sibec 2024 smap aims to guide the planning and management of mangrove forests underscoring sabahs dedication to coastal protection biodiversity and carbon sequestration sabah maju jaya smj plan sustainability is a central element of the green infrastructure network and sustainability pillar included in this plan looking ahead hajiji said sabah aims to expand reforestation efforts incorporate advanced technology in forest management and strengthen international collaborations through the sabah forestry department we are determined to develop a resilient and sustainable forestry sector that not only meets todays needs but also protects resources for future generations he said forests as lifeline for future generations sabah remains committed to preserving its forests and planting more trees as part of its ongoing efforts to minimise the impact of global warming cm hajiji reiterated the sabah governments dedication to maintaining forest conservation policies recognising the crucial role forests play in climate mitigation sabah will continue its policy of maintaining and expanding forested areas while implementing treeplanting initiatives to combat the effects of climate change our forests are among our greatest assets and we must protect them for future generations he said,en,positive
Sabah Forestry and French group to collaborate on agroforestry research deal,sabah forestry department sfd and the french agricultural research centre for international development cirad have signed a letter of intent loi to formalise a collaborative partnership on trails 2 a longterm agroforestry research initiative aimed at transforming oil palm landscapes to support both biodiversity and sustainable productivity trails 2 short for agroforestry plantations for biodiversity and ecosystem services represents an ambitious step toward reconciling environmental conservation with agricultural development the project seeks to assess innovative oil palmbased agroforestry systems that integrate native tree species improve ecological connectivity and deliver critical ecosystem services such as soil fertility microclimate regulation and habitat provision for wildlife the study site is at melangking oil palm plantation in sukau where the company has set aside some 100 ha for this biodiversity research the loi signed at sfd headquarters in sandakan reflects a shared commitment to addressing pressing global challengesdeforestation biodiversity loss and climate changethrough sciencebased approaches tailored to tropical ecosystems it also paves the way for more resilient land management practices in the face of increasingly unsustainable monoculture plantation models as part of the collaboration sfd will facilitate coordination with key regulatory agencies such as the sabah biodiversity centre and the department of agriculture to ensure the trails 2 project aligns with local and national legal frameworks in addition the forest research centre sepilok the research arm of sfd will provide technical guidance and support in forest ecology and longterm monitoring in addition cirad is also working with hutan an ngo led by dr marc ancrenaz on wildlife monitoring datuk frederick kugan chief conservator of forests represented by indra sunjoto deputy chief conservator of forests planning  management stated this partnership with cirad reinforces sabahs leadership in sustainable forestry trails 2 opens new opportunities to demonstrate that oil palm production and biodiversity conservation can coexist through thoughtful landuse innovation while professor alain rival representing dr jean marc roda the cirad regional director for southeast asian island countries commented with trails 2 they want to move beyond debate and put our research and development partnership into action longterm field experiments and accurate monitoring are essential to build scientific evidence for sustainable agroforestry especially in complex landscapes such as sabah the research will explore multiple agroforestry configurationsfrom interplanted native tree rows to forest islands embedded within plantationswhile monitoring their effects on biodiversity ecosystem services and palm productivity findings from trails 2 are expected to provide robust data to guide growers policymakers and conservationists toward regenerative oil palmbased systems,en,positive
